id;m_source;c_source;m_country_code;c_country_code;m_source_id;c_source_id;validation_status
4331856;AZT;CMA;LT;LT;475083700074;22482;gpt_2
4331875;AZT;CMA;LT;LT;506006299761;19969;gpt_2
4331879;AZT;CMA;LT;LT;477902838022;14919;gpt_2
4331887;AZT;BNU;LT;LT;734007475013;10085353;gpt_2
4331895;AZT;CMA;LT;LT;502180779603;22385;gpt_2
4331896;AZT;CMA;LT;LT;502935400114;22425;gpt_2
4331934;AZT;CMA;LT;LT;851325002282;19900;gpt_2
4331936;AZT;CMA;LT;LT;570945500613;19113;gpt_2
4331960;AZT;CMA;LT;LT;731740000233;22016;gpt_2
4331978;AZT;BNU;LT;LT;734007478007;10085387;gpt_2
4331980;AZT;CMA;LT;LT;805141723717;18689;gpt_2
4331996;AZT;CMA;LT;LT;301426022300;16908;gpt_2
4332001;AZT;CMA;LT;LT;761241242770;17880;gpt_2
4332012;AZT;CMA;LT;LT;823250;19149;gpt_2
4332030;AZT;CMA;LT;LT;477902838037;15127;gpt_2
4332063;AZT;BNU;LT;LT;734007478009;10085388;gpt_2
4332064;AZT;CMA;LT;LT;590051613672;17771;gpt_2
4332082;AZT;CMA;LT;LT;404764201555;18370;gpt_2
4332083;AZT;CMA;LT;LT;991076;21178;gpt_2
4332139;AZT;CMA;LT;LT;217973;18725;gpt_2
4332153;AZT;BNU;LT;LT;734007476201;10085373;gpt_2
4332154;AZT;BNU;LT;LT;734007476202;10085373;gpt_2
4332176;AZT;CMA;LT;LT;805141723718;18692;gpt_2
4332210;AZT;CMA;LT;LT;477903447002;15033;gpt_2
4332260;AZT;CMA;LT;LT;502180770312;15245;gpt_2
4332266;AZT;CMA;LT;LT;770201835033;16980;gpt_2
4332269;AZT;BNU;LT;LT;734007471543;10085329;gpt_2
4332270;AZT;BNU;LT;LT;734007471542;10085328;gpt_2
4332276;AZT;CMA;LT;LT;723784995344;16269;gpt_2
4332277;AZT;BNU;LT;LT;590262761373;10085260;gpt_2
4332280;AZT;CMA;LT;LT;225908;22728;gpt_2
4332287;AZT;BNU;LT;LT;734007474601;10085340;gpt_2
4332288;AZT;BNU;LT;LT;590262761367;10085258;gpt_2
4332294;AZT;CMA;LT;LT;217974;18726;gpt_2
4332303;AZT;BNU;LT;LT;590262761866;10085257;gpt_2
4332304;AZT;BNU;LT;LT;590262761446;10085246;gpt_2
4332305;AZT;CMA;LT;LT;477016109324;25003;gpt_2
4332317;AZT;BNU;LT;LT;734007475103;10085360;gpt_2
4332324;AZT;CMA;LT;LT;590771894890;17827;gpt_2
4332338;AZT;CMA;LT;LT;224036;25133;gpt_2
4332370;AZT;CMA;LT;LT;770201801811;16979;gpt_2
4332378;AZT;CMA;LT;LT;729001015456;19074;gpt_2
4332380;AZT;CMA;LT;LT;729001015498;19073;gpt_2
4332386;AZT;BNU;LT;LT;590169857364;10085253;gpt_2
4332415;AZT;BNU;LT;LT;734007478011;10085389;gpt_2
4332431;AZT;CMA;LT;LT;222527;14831;gpt_2
4332449;AZT;CMA;LT;LT;728001017453;18020;gpt_2
4332459;AZT;BNU;LT;LT;590262761444;10085247;gpt_2
4332460;AZT;CMA;LT;LT;477016109331;24954;gpt_2
4332489;AZT;BNU;LT;LT;590262761443;10085248;gpt_2
4332498;AZT;CMA;LT;LT;223165;21264;gpt_2
4332499;AZT;CMA;LT;LT;477016109330;24923;gpt_2
4332500;AZT;CMA;LT;LT;735000170363;19888;gpt_2
4332501;AZT;CMA;LT;LT;477902109032;14901;gpt_2
4332506;AZT;CMA;LT;LT;764013307085;16179;gpt_2
4332513;AZT;CMA;LT;LT;732013301545;18332;gpt_2
4332524;AZT;CMA;LT;LT;224238;25274;gpt_2
4332530;AZT;BNU;LT;LT;734007471522;10085326;gpt_2
4332538;AZT;BNU;LT;LT;590169857365;10085254;gpt_2
4332539;AZT;BNU;LT;LT;590169857366;10085255;gpt_2
4332540;AZT;CMA;LT;LT;202088;15288;gpt_2
4332602;AZT;CMA;LT;LT;223164;21263;gpt_2
4332610;AZT;CMA;LT;LT;224230;21552;gpt_2
4332615;AZT;CMA;LT;LT;210892;16430;gpt_2
4332634;AZT;CMA;LT;LT;502180779600;21997;gpt_2
4332640;AZT;CMA;LT;LT;219825;20400;gpt_2
4332644;AZT;GIN;LT;LT;723784970343;43510;gpt_2
4332652;AZT;CMA;LT;LT;735000170148;19886;gpt_2
4332657;AZT;CMA;LT;LT;224199;26250;gpt_2
4332678;AZT;BNU;LT;LT;590169857368;10085256;gpt_2
4332709;AZT;CMA;LT;LT;219824;20401;gpt_2
4332714;AZT;CMA;LT;LT;221975;20523;gpt_2
4332720;AZT;CMA;LT;LT;206086;15750;gpt_2
4332722;AZT;BNU;LT;LT;734007472020;10085342;gpt_2
4332723;AZT;CMA;LT;LT;206089;15747;gpt_2
4332740;AZT;CMA;LT;LT;805141723720;18694;gpt_2
4332759;AZT;BNU;LT;LT;590169857784;10085242;gpt_2
4332760;AZT;BNU;LT;LT;590169857783;10085241;gpt_2
